id	name	dest_zone	dest_x	dest_y	dest_z	pos_x	pos_y	pos_z
40334	PAWPORTC	NONE	0	0	0	150.033	641.341	0.00097
36708	PAWPORTC	NONE	0	0	0	150.033	641.341	0.00097
40333	PAWCELL	NONE	0	0	0	213.841	543.779	9.99702
36707	PAWCELL	NONE	0	0	0	213.841	543.779	9.99702
40332	PAWCELL	NONE	0	0	0	219.902	485.874	9.99701
36706	PAWCELL	NONE	0	0	0	219.902	485.874	9.99701
40331	PAWCELL	NONE	0	0	0	183.967	503.575	9.99701
36705	PAWCELL	NONE	0	0	0	183.967	503.575	9.99701
40330	PAWCELL	NONE	0	0	0	183.991	469.72	9.99701
36704	PAWCELL	NONE	0	0	0	183.991	469.72	9.99701
40329	PAWCELL	NONE	0	0	0	227.868	437.925	9.99701
36703	PAWCELL	NONE	0	0	0	227.868	437.925	9.99701
40328	PAWCELL	NONE	0	0	0	263.747	423.717	9.997
36702	PAWCELL	NONE	0	0	0	263.747	423.717	9.997
36709	PAWPORTC	NONE	0	0	0	98.2044	587.789	0.001
40327	PAWCELL	NONE	0	0	0	275.958	411.705	9.997
36701	PAWCELL	NONE	0	0	0	275.958	411.705	9.997
40326	PAWCELL	NONE	0	0	0	253.856	385.808	9.997
36700	PAWCELL	NONE	0	0	0	253.856	385.808	9.997
40325	PAWPORTC	NONE	0	0	0	126.032	1362.04	0.000992
36699	PAWPORTC	NONE	0	0	0	126.032	1362.04	0.000992
40324	PAWPORTC	NONE	0	0	0	139.379	1379.51	0.001303
36698	PAWPORTC	NONE	0	0	0	139.379	1379.51	0.001303
40323	PAWPORTC	NONE	0	0	0	159.413	1379.55	0.00104
36697	PAWPORTC	NONE	0	0	0	159.413	1379.55	0.00104
40336	PAWPORTC	NONE	0	0	0	-97.2987	953.583	0.001003
36710	PAWPORTC	NONE	0	0	0	-97.2987	953.583	0.001003
40337	PAWPORTC	NONE	0	0	0	-129.871	971.959	0.001004
36711	PAWPORTC	NONE	0	0	0	-129.871	971.959	0.001004
40338	PAWCELL	NONE	0	0	0	-139.94	1009.5	0.001005
36712	PAWCELL	NONE	0	0	0	-139.94	1009.5	0.001005
40339	PAWPORTC	NONE	0	0	0	-96.4357	1021.63	0.000998
36713	PAWPORTC	NONE	0	0	0	-96.4357	1021.63	0.000998
40340	PAWPORTC	NONE	0	0	0	0.541746	551.747	-63.9736
36714	PAWPORTC	NONE	0	0	0	0.541746	551.747	-63.9736
