25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	1	1
31	1.04	1.04
32	1.09	1.09
33	1.13	1.13
34	1.17	1.17
35	1.21	1.21
36	1.26	1.26
37	1.3	1.3
38	1.34	1.34
39	1.39	1.39
40	1.43	1.43
41	1.47	1.47
42	1.51	1.51
43	1.56	1.56
44	1.6	1.6
45	1.64	1.64
46	1.69	1.69
47	1.73	1.73
48	1.77	1.77
49	1.81	1.81
50	1.86	1.86
51	1.9	1.9
52	1.94	1.94
53	1.99	1.99
54	2.03	2.03
55	2.07	2.07
56	2.11	2.11
57	2.16	2.16
58	2.2	2.2
59	2.24	2.24
60	2.29	2.29
61	2.33	2.33
62	2.37	2.37
63	2.41	2.41
64	2.46	2.46
65	2.5	2.5
66	2.5	2.5
67	2.5	2.5
68	2.5	2.5
69	2.5	2.5
70	2.5	2.5
