100098	Ethernaut Greathelm	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100099	Ethernaut Breastplate	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100100	Ethernaut Greaves	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100101	Ethernaut Vambraces	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100102	Ethernaut Gauntlets	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100103	Ethernaut Sabatons	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100104	Ethernaut Bracer	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100105	Ethernaut Pauldrons	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100106	Ethernaut Girdle	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100107	Ethernaut Amulet	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100108	Ethernaut Veil	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100109	Ethernaut Band	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100110	Ethernaut Stud	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100111	Ethernaut Great Cloak	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100112	Ethernaut Decapitator	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100113	Ethernaut Warhammer	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100114	Ethernaut Dirk	100	100	100	100	100	100	100	50	50	50	50	50	50	0	100	100	100	100	100
100115	Ethernaut Satchel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
