id	name
2020	Lieutenant_Dagarok
2021	a_klicnik_drone
2022	a_klicnik_worker
2023	a_klicnik_warrior
2024	a_fire_beetle
2025	a_klicnik_worker
2026	Prince_Klicnik
2027	Quinon_Hulleaf
2028	a_whiskered_bat
2029	Jracol_Brestiage
20200	skeleton_officer
20201	a_cliff_spider
20202	Wrom_Shralok
20203	Kornek_Shralok
20204	skeleton_guard
20205	General_V`ghera
20206	Captain_Shralok
20207	Felltruia_Moru
20208	undead_mendicant
20209	decaying_swordsman
20210	rotting_priest
20211	rotted_tactician
20212	zombie_commander
20213	rotted_tactician
20214	infected_officer
20215	Bevlok_Shralok
20216	Lothlen_Selendru
20217	Vehgar_Shralok
20218	Barg_Shralok
20219	Grigga_Shralok
20220	Grim_Oakfist
20221	skeleton_officer
20223	fallen_advisor
20224	Unked_Shralok
20225	skeleton_advisor
20250	_2__
20251	a_shadowed_man
20252	a_shadowed_man
20253	a_shadowed_man
20254	a_shadowed_man
20255	##Booberella
20256	##Captain_Scareyface
20257	##Casper
20258	##Count_Alucard
20259	##Eve_Hallows
20260	##Jack_Lanturn
20261	##Solomon_Grundy
20262	##The_Great_Pumpkin
20263	##Tricksy_Treetor
20264	##a_Bat_with_Herpes
20265	##a_Werewolf_with_Rabies
20266	##a_Ghost
20267	##a_Spook
20268	##a_Little_Demon
20269	##an_Imp
20270	##a_Vampire
20271	##a_Vampire_Bat
20272	##a_Zombie
20273	##a_Xombie
20274	##Soldier_of_the_Damned
20275	Mippie_Diggs
20276	Eenot
20277	Reggit
20278	Kobb
20279	Old_Man_Draykey
20280	dread_wolf
20281	Syxa_Jewlborn
20282	a_black_cat
20283	#Muffin
20284	zombie_trooper
20285	Crazy_Charlie
20286	a_fallen_werewolf
20287	Feign_Death_Trooper
20288	Lurgh
20289	#a_jack_o_lantern
20290	#a_cloaked_figure
20291	a_malignant_shadow
20292	#a_shadow_thief
20293	Uglib_Gaibido
20294	Xotmidd_Ferlop
20295	Jarnig_Kilanid
20296	Valinda_Erginton
20297	Shressa_Farondi
20298	Tilminos_Farondi 
20299	#Blackened_Treant
202000	Chaunna_Graice
202001	Gram_Dunnar
202002	Nelin_Signus
202003	Official_Sevalis
202004	Official_Ellerawen
202005	Official_Wigoth
202006	Seer_Mal_Nae`Shi
202007	Warder_Elwysaie
202008	Virtuoso_Ciadus
202009	Virtuoso_Zoama
202010	Assassin_Rysarieul
202011	Grandmaster_Chendra
202012	Warlord_Korehan
202013	Alexis_Dubbani
202014	Randi_Ellan
202015	Gammle_Hecht
202016	Lohie_Cantare
202017	Curator_Merri
202018	Drelynn_Beaufax
202019	Renni_Stone
202020	Strat
202021	Holly_Longtail
202022	Talespinner_Trogmarz
202023	Researcher_Eldaro
202024	Chronicler_Bixbot
202025	Bookbrowser_Talika
202026	Loreseeker_Olgrim
202027	Guardian_Jerbabi
202028	Guardian_Voelath
202029	Guardian_Gwalec
202030	Guardian_Caynd
202031	Guardian_Aderrawyn
202032	Guardian_Rhilali
202033	Guardian_Jerilamos
202034	Guardian_Sinothmo
202035	Guardian_Shabado
202036	Guardian_Elaredon
202037	Bolcen_Tendag
202038	Zalil_Nyvin
202039	Cadelid_Etord
202040	Acomar_Lothwol
202041	Sage_Xelrin
202042	Onirelin_Gali
202043	Gwiraba_Gelrid
202044	Xasri_Virek
202045	Zauvudd_Gigoth
202046	Sage_Gunyth
202047	Tenada_Jeried
202048	Ethoach_Trokith
202049	Leramas_Feston
202050	Winon_Glahar
202051	Sage_Balic
202052	Guardian_Helind
202053	Guardian_Erohach
202054	Cadelawin_Browan
202055	Willamina
202056	Rilatlan_Olaek
202057	Trep_Thilcan
202058	Agrakath_Theric
202059	Caonid_Girwil
202060	Guardian_Aboekor
202061	Guardian_Aderrawyn
202062	Guardian_Adew
202063	Guardian_Jerbabi
202064	Daeld_Atand
202065	Guardian_Voelath
202066	Guardian_Caynd
202067	Radie_Imsin
202068	Yeril_Imsin
202069	Audri_Deepfacet
202070	Guardian_Rhilali
202071	Halena_Paerk
202072	Guardian_Shabado
202073	Jahzo_Hammertail
202074	Zosran_Hammertail
202075	Kertak_Hammertail
202076	Ellis_Cloudchaser
202077	Telir_Na`Shalith
202078	Loran_Thu`Leth
202079	Serin_O`Danos
202080	Perago_Crotal
202081	Merabo_Sotath
202082	Sirekoth_Eshe
202083	Basur_TuQual
202084	Noirin_Khalen
202085	Bemli_Takoth
202086	Dalin_Greskar
202087	Boiron_Ston
202088	Magnar_Quok
202089	Glena_Quok
202090	Vuli_Ironstove
202091	Tranus_Ironstove
202092	Culkin_Ironstove
202093	Savet_Ironstove
202094	Higwyn_Matrick
202095	Tratlan_Matrick
202096	Guardian_Vaehan
202097	Guardian_Adiasean
202098	Guardian_Adew
202099	Guardian_Onaut
202100	Guardian_Jarenth
202101	Guardian_Rirak
202102	Guardian_Cigosh
202103	Guardian_Frilikin
202104	Guardian_Kedirakith
202105	Guardian_Wedrijan
202106	Guardian_Rhorin
202107	Guardian_Jelab
202108	Guardian_Rhenwan
202109	Guardian_Prau
202110	Guardian_Thaowyn
202111	Guardian_Asirav
202112	Guardian_Aboekor
202113	Guardian_Bomawyn
202114	Guardian_Norerd
202115	Guardian_Drendle
202116	Guardian_Frendad
202117	Guardian_Ulaurd
202118	Guardian_Daknot
202119	Guardian_Onay
202120	Soulbinder_Jera
202121	Aid_Grimel
202122	Aid_Eino
202123	Aid_Fimli
202124	Aid_Garuuk
202125	Grand_Librarian_Maelin
202126	Councilwoman_Kerasha
202127	Councilman_Taldarius
202128	Councilman_Srethix
202129	Caden_Zharik
202130	Dogle_Pitt
202131	Amile_Pitt
202132	Kirem_Deepfacet
202133	Gligo_Muddypants
202134	Elisha_Dirtyshoes
202135	Bargol_Halith
202136	Klen_Ironstove
202137	Peras_Glickon
202138	Darius_Gandril
202139	Jaren_Cloudchaser
202140	Severg_O`Danos
202141	Derin_O`Danos
202142	Ciren_Darkbog
202143	Tallis_Paerk
202144	Sherin_Matrick
202145	Banker_Granger
202146	Banker_Ceridan
202147	Wegal_Darkanvil
202148	Merin_Darkanvil
202149	Kaleras_Darkanvil
202150	Saria_Bromal
202151	Tabben_Bromal
202152	Wilacor_Goldenmead
202153	Ferin_Lightfoot
202154	Mirao_Frostpouch
202155	Tana_Clawguard
202156	Blane_Darkblade
202157	Larquin_Julinok
202158	Beorobin_Amondson
202159	Mystic_Abomin
202160	Mystic_Goharkor
202161	Ulin_Velnik
202162	Guardian_Helind
202163	Guardian_Erohach
202164	Guardian_Vaehan
202165	Guardian_Adiasean
202166	Maryalis_N`Ryt
202167	Wisdomseeker_Raulin
202168	Guardian_Onaut
202169	Pastseeker_Rhondarra
202170	Guardian_Jarenth
202171	Gravelady_Beddia
202172	Guardian_Rirak
202173	Borik_Darkanvil
202174	Channeler_Olaemos
202175	Channeler_Keatrem
202176	Channeler_Alyrianne
202177	Channeler_Cerakoth
202178	Channeler_Lariland
202179	Mystic_Abomin
202180	Mystic_Somas
202181	Mystic_Pikor
202182	Mystic_Ryrin
202183	Mystic_Goharkor
202184	Reaver_Nydlil
202185	Reaver_Praden
202186	Reaver_Muron
202187	Reaver_Thirlan
202188	Reaver_Uledrith
202189	Pathfinder_Viliken
202190	Pathfinder_Arelat
202191	Pathfinder_Naend
202192	Pathfinder_Thoajin
202193	Pathfinder_Vaered
202194	Cavalier_Waut
202195	Cavalier_Ethigom
202196	Cavalier_Cerakor
202197	Cavalier_Preradus
202198	Cavalier_Aodus
202199	Heretic_Drahur
202200	Heretic_Niraf
202201	Heretic_Ceikon
202202	Heretic_Edalith
202203	Heretic_Elirev
202204	Elementalist_Somat
202205	Elementalist_Onaec
202206	Elementalist_Siewth
202207	Elementalist_Padan
202208	Elementalist_Kaeob
202209	Illusionist_Jerup
202210	Illusionist_Warek
202211	Illusionist_Acored
202212	Illusionist_Lobaen
202213	Illusionist_Sevat
202214	Wanderer_Astobin
202215	Wanderer_Thermon
202216	Wanderer_Kedrisan
202217	Wanderer_Frardok
202218	Wanderer_Qenda
202219	Vicar_Ceraen
202220	Vicar_Glaunn
202221	Vicar_Diarin
202222	Vicar_Delin
202223	Vicar_Thiran
202224	Primalist_Saosith
202225	Primalist_Uliag
202226	Primalist_Loerith
202227	Primalist_Nydalith
202228	Primalist_Worenon
202229	Minstrel_Eoweril
202230	Minstrel_Cirsaelle
202231	Minstrel_Silnon
202232	Minstrel_Gwiar
202233	Minstrel_Joet
202234	Savage_Lord_Dwev
202235	Savage_Lord_Etherat
202236	Savage_Lord_Cedrean
202237	High_Priest_Eliwan
202238	Crusader_Gimil
202239	Oracle_Cador
202240	Hierophant_Trilawyth
202241	Arch_Mage_Olera
202242	Phantasmist_Abaur
202243	Sorcerer_Farin
202244	Virtuoso_Legilwan
202245	Phantasmist_Tairon
202246	Oracle_Maeth
202247	High_Priest_Vasil
202248	Grandmaster_Limsa
202249	Assassin_Daran
202250	Crusader_Difur
202251	Warlord_Welorf
202252	Arch_Mage_Narik
202253	Sorcerer_Kerynth
202254	Oracle_Guwan
202255	High_Priest_Elikor
202256	Warlock_Vesthin
202257	Phantasmist_Salkith
202258	Sorcerer_Dogan
202259	Arch_Mage_Deidus
202260	Grave_Lord_Dreavud
202261	Guardian_Cigosh
202262	Guardian_Frilikin
202263	Grandmaster_Vohar
202264	Guardian_Kedirakith
202265	Trelli_Steelswinger
202266	Guardian_Wedrijan
202267	Gilina_Yilzior
202268	Sienn_Kastane
202269	Guardian_Rhorin
202270	Guardian_Jelab
202271	Guardian_Rhenwan
202272	#Ruandia
202273	#Geboron
202274	Devin_Traical
202275	Tralina_Dukar
202276	Sheley_Courilan
202277	Grumbiv_Wetbeard
202278	Guardian_Prau
202279	Guardian_Thaowyn
